Date,Open,High,Low,Close,Volume
2010-10-08,36.81,37.155,36.588,37.104,185911515
2010-10-11,37.193,37.5,37.169,37.265,120794314
2010-10-12,37.27,37.787,36.902,37.666,157644483
2010-10-13,37.856,38.096,37.826,37.869,176014689
2010-10-14,38.048,38.164,37.901,38.144,122689863
2010-10-15,38.788,39.742,38.471,39.709,259635025
2010-10-18,40.183,40.248,39.652,40.123,305248279
2010-10-19,38.289,39.588,37.854,39.049,347709887
2010-10-20,38.987,39.647,38.718,39.179,203188153
2010-10-21,39.404,39.709,38.708,39.053,154939279
2010-10-22,38.988,39.116,38.644,38.792,104730967
2010-10-25,39.002,39.316,38.915,38.966,108946436
2010-10-26,38.718,39.08,38.562,38.866,110055679
2010-10-27,38.798,39.101,38.555,38.837,111128664
2010-10-28,38.854,38.86,37.964,38.511,155279377
2010-10-29,38.398,38.592,37.96,37.974,120615633
2010-11-01,38.182,38.555,38.128,38.377,119556721
2010-11-02,38.764,39.133,38.734,39.031,122223406
2010-11-03,39.3,39.475,38.925,39.465,143744591
2010-11-04,39.756,40.397,39.747,40.155,181390697
2010-11-05,40.122,40.32,39.963,40.01,102079013
2010-11-08,40.011,40.344,39.965,40.199,79257904
2010-11-09,40.501,40.538,39.679,39.879,108222422
2010-11-10,39.956,40.217,39.56,40.127,107937252
2010-11-11,39.744,40.17,39.647,39.951,102135960
2010-11-12,39.805,39.933,38.308,38.863,225032290
2010-11-15,38.92,39.181,38.64,38.738,113926761
2010-11-16,38.548,38.809,37.763,38.05,185953008
2010-11-17,37.985,38.356,37.567,37.915,135484953
2010-11-18,38.54,39.07,38.442,38.914,139425012
2010-11-19,38.86,38.91,38.511,38.7,108836147
2010-11-22,38.696,39.537,38.591,39.537,110850649
2010-11-23,39.175,39.332,38.679,38.952,146520819
2010-11-24,39.363,39.793,39.332,39.717,117092769
2010-11-26,39.56,40.085,39.482,39.742,67298458
2010-11-29,39.899,40.056,39.285,39.977,125145362
2010-11-30,39.559,39.662,39.221,39.259,141742143
2010-12-01,39.827,40.092,39.742,39.92,130043195
2010-12-02,40.058,40.248,39.729,40.141,131012293
2010-12-03,39.985,40.203,39.913,40.051,96819725
2010-12-06,40.189,40.668,40.173,40.392,125882950
2010-12-07,40.863,40.876,40.137,40.15,110339905
2010-12-08,40.344,40.504,40.007,40.503,90774009
2010-12-09,40.682,40.689,40.25,40.342,83093715
2010-12-10,40.329,40.509,40.196,40.443,74267905
2010-12-13,40.922,41.011,40.501,40.583,124219640
2010-12-14,40.625,40.693,40.248,40.41,99336662
2010-12-15,40.388,40.753,40.271,40.419,117527596
2010-12-16,40.512,40.701,40.388,40.531,90942314
2010-12-17,40.548,40.6,40.403,40.45,109374776
2010-12-20,40.551,40.783,40.152,40.652,108710996
2010-12-21,40.765,40.926,40.631,40.902,72418163
2010-12-22,40.922,41.096,40.822,41.026,75241216
2010-12-23,41.004,41.024,40.774,40.829,63128252
2010-12-27,40.777,41.06,40.564,40.966,70562092
2010-12-28,41.122,41.214,41.011,41.064,49705215
2010-12-29,41.146,41.188,41.017,41.042,46170234
2010-12-30,41.055,41.07,40.759,40.837,44559842
2010-12-31,40.753,40.813,40.54,40.696,54743591
2011-01-03,40.985,41.667,40.985,41.581,125790969
2011-01-04,41.949,41.949,41.401,41.799,87428805
2011-01-05,41.634,42.184,41.573,42.139,71730968
2011-01-06,42.268,42.297,42.001,42.106,84875094
2011-01-07,42.154,42.436,41.874,42.408,87804838
2011-01-10,42.752,43.307,42.541,43.206,126763194
2011-01-11,43.523,43.525,42.83,43.105,125288134
2011-01-12,43.33,43.456,43.146,43.455,85493248
2011-01-13,43.549,43.732,43.381,43.613,83934458
2011-01-14,43.654,43.967,43.457,43.967,87045649
2011-01-18,41.263,43.499,41.129,42.979,527045681
2011-01-19,43.981,43.984,42.502,42.753,320717300
2011-01-20,42.416,42.68,41.649,41.975,216198008
2011-01-21,42.139,42.253,41.21,41.221,213252388
2011-01-24,41.265,42.577,41.221,42.577,162217856
2011-01-25,42.418,43.081,42.211,43.075,154007659
2011-01-26,43.263,43.603,43.088,43.381,143306983
2011-01-27,43.388,43.49,43.254,43.304,80555026
2011-01-28,43.442,43.452,42.081,42.405,167319970
2011-01-31,42.382,42.899,42.178,42.813,106678528
2011-02-01,43.093,43.609,43.021,43.534,120420225
2011-02-02,43.459,43.558,43.343,43.44,73209520
2011-02-03,43.366,43.431,42.713,43.332,111300352
2011-02-04,43.352,43.741,43.34,43.716,90976888
2011-02-07,43.907,44.567,43.863,44.396,137060877
2011-02-08,44.603,44.854,44.429,44.814,107559580
2011-02-09,44.813,45.294,44.773,45.189,136449628
2011-02-10,45.144,45.422,43.907,44.731,262502616
2011-02-11,44.77,45.141,44.606,45.024,103924786
2011-02-14,45.018,45.357,45.006,45.317,87751912
2011-02-15,45.321,45.419,45.111,45.409,80105624
2011-02-16,45.509,46.037,45.484,45.814,134494248
2011-02-17,45.048,45.455,44.981,45.205,149844815
2011-02-18,45.205,45.358,44.098,44.229,230227876
2011-02-22,43.133,43.577,42.611,42.722,246396033
2011-02-23,42.726,43.483,42.722,43.228,189917173
2011-02-24,43.401,43.547,42.69,43.261,141318105
2011-02-25,43.569,43.962,43.504,43.926,107317506
2011-02-28,44.305,44.796,44.299,44.563,113806732
2011-03-01,44.824,44.879,43.867,44.072,128778189
2011-03-02,44.153,44.709,43.958,44.426,170312856
2011-03-03,45.097,45.393,44.904,45.365,141141211
2011-03-04,45.365,45.457,45.136,45.422,128138333
2011-03-07,45.622,45.63,44.324,44.836,154354316
2011-03-08,44.764,45.092,44.443,44.885,100729829
2011-03-09,44.751,44.759,44.234,44.471,128262285
2011-03-10,44.03,44.131,43.516,43.737,143549747
2011-03-11,43.532,44.451,43.531,44.412,133094203
2011-03-14,44.522,44.976,44.324,44.608,123412619
2011-03-15,43.128,43.889,42.907,43.581,203894903
2011-03-16,43.129,43.278,41.164,41.635,326416455
2011-03-17,42.51,42.848,41.719,42.22,186418999
2011-03-18,42.504,42.667,41.634,41.719,213084933
2011-03-21,42.409,42.865,42.299,42.81,116917656
2011-03-22,43.222,43.228,42.79,43.05,92279238
2011-03-23,42.803,42.922,42.386,42.794,105535603
2011-03-24,43.131,43.654,42.756,43.526,114495401
2011-03-25,43.909,44.419,43.78,44.353,127023321
2011-03-28,44.567,44.704,44.213,44.213,87398407
2011-03-29,43.845,44.28,43.663,44.28,99678543
2011-03-30,44.249,44.269,43.836,43.986,93030861
2011-03-31,43.707,44.134,43.663,43.971,77508101
2011-04-01,44.296,44.36,43.315,43.473,118328869
2011-04-04,43.473,43.477,42.692,43.049,129935414
2011-04-05,42.459,43.18,42.393,42.76,136618362
2011-04-06,43.078,43.388,42.536,42.65,113780120
2011-04-07,42.652,42.951,42.396,42.653,105609597
2011-04-08,42.893,42.914,42.132,42.274,106665695
2011-04-11,42.208,42.349,41.636,41.737,112867302
2011-04-12,41.722,42.106,41.659,41.938,120340879
2011-04-13,42.248,42.411,41.952,42.409,97936638
2011-04-14,42.221,42.393,41.894,41.94,85329997
2011-04-15,42.093,42.096,41.231,41.317,128329346
2011-04-18,41.139,41.915,40.394,41.869,173201462
2011-04-19,42.046,42.642,41.85,42.626,118440884
2011-04-20,43.368,43.622,43.088,43.2,191462680
2011-04-21,44.71,44.806,43.973,44.247,213164387
2011-04-25,44.223,44.632,44.197,44.539,75214501
2011-04-26,44.611,44.787,44.075,44.211,95533514
2011-04-27,44.447,44.455,43.792,44.179,100533973
2011-04-28,43.68,44.128,43.593,43.748,102081582
2011-04-29,43.783,44.657,43.737,44.177,284344980
2011-05-02,44.123,44.218,43.59,43.691,125000406
2011-05-03,43.897,44.146,43.604,43.93,88680669
2011-05-04,43.943,44.389,43.766,44.104,110558051
2011-05-05,43.949,44.279,43.661,43.748,94942769
2011-05-06,44.14,44.159,43.682,43.735,79256648
2011-05-09,43.892,44.058,43.719,43.857,57921419
2011-05-10,44.009,44.122,43.735,44.09,80689164
2011-05-11,44.051,44.159,43.556,43.808,94562573
2011-05-12,43.712,43.794,43.181,43.725,90529426
2011-05-13,43.627,43.687,42.941,42.96,92241494
2011-05-16,42.796,43.053,41.963,42.051,127201536
2011-05-17,41.887,42.411,41.727,42.411,127999226
2011-05-18,42.456,43.031,42.393,42.879,94561746
2011-05-19,43.152,43.2,42.729,42.964,73766046
2011-05-20,42.866,43.018,42.27,42.293,95654278
2011-05-23,41.64,42.39,41.563,42.191,108180779
2011-05-24,42.326,42.379,41.806,41.912,91090330
2011-05-25,42.051,42.715,41.995,42.489,83167556
2011-05-26,42.364,42.503,42.196,42.268,62983199
